story_id,prompt,text,net_upvotes,model_short
izxdani,"Humanity is visited by a cosmic horror the likes of which has only been seen in Lovecraftian horror. In desperation, Earth throws everything we have at it, and, miraculously, the human race has killed a God. Somewhere in a realm beyond our understanding, the other gods speak of the event.","Ameth-ta had ten thousand eyes, and every last one of them was weeping. Rashe-son-del slammed a tankard of fermented souls into its three-lobed maw, drunkenly cursing. That Which Seeks offered Ameth-ta a sheet-shaped cloud of interstellar dust; Ameth-ta noisily blew its nose upon its projection in exospace, thanking That Which Seeks as an afterthought.

It was a funeral for a god, and everyone had arrived.

""I'dï¿½ï¿½ï¿½hicï¿½ï¿½ï¿½I'd like to thank you all"" Rashe-son-del slurred out. ""The Devourer was many things to us. A friend. A lover. A nightmare made flesh."" The assembled deities rumbled in approval. ""When we first got word that The Devourer's soul-planet had developed life, I'd like to think that nobody was happier about it than The Devourer itself, may its soul blaze on.""

""Hear, hear,"" Ameth-ta rumbled.

""But when that life metastasizedï¿½ï¿½ï¿½when it warped the planet so much that ol' Devvy started to sicken and dieï¿½ï¿½ï¿½did they listen when we told them to stop? No! They just clutched their ears and screamed as their internal organs liquefied from the deific pressure of our voice. And when we tried to force them into""

Here, Rashe-son-del took another swig from its tankard before sundering it from reality with a thought. ""The spiteful fuckers didn't even try to fight us. They knew they couldn't touch us. No, they turned their weapons on their own fucking planet. Ruined it beyond repair and took Devvy with them.""

Ameth-ta wouldn't stop sobbing. That Which Seeks handed it another nebula.

""They paid the price, of course."" Rashe-son-del peered into soulspace, where the still-cooling remnants of a shattered planet orbited around a flickering star. ""No clue where they evacuated to. But we'll find them. We'll find them and make them pay for what they did to ol' Devvy.""

The assembled deities roared in agreementï¿½ï¿½ï¿½

And then Rashe-son-del froze mid-sentence, doubling over as if struck by a cosmic baseball ""What?"" The eldritch entity from beyond humanity's universe opened and closed its mouth in incomprehension. ""How canï¿½ï¿½ï¿½who da""

That Which Seeks vomited, its body quavering and unravelling, and Ameth-ta shrieked as its thousand eyes began to blacken and close. In a flash of understanding, Rashe-son-del peered into soulspace, at the distant star cluster where its soul-planet laid.

Where its soul-planet had lain. Where there was now just an expanding cloud of gas and dust.

""No,"" Rashe-son-del whispered, disbelieving. ""You abominations. You monsters. Was one of us not enough? Must you take everything from us?""

As if in spiteful response, the star itself that Rashe-son-del's soul-planet had once orbited dimmed, once.

Then it erupted in a supernova an aeon before its time, and Rashe-son-del screamed in agony as its soul-planet was rendered nothing more than subatomic particles.

""But how... how did they find..."" That Which Seeks struggled to rise, to peer into soulspace once more. It should have been impossible. A needle in a haystack. There should have been no way for the humans to find their soul-planets... unless...

As That Which Seeks unraveled, its mind finally sighted upon the answer. There was no need for the humans to know which planet served as the eldritch deities' soul. Not with what they'd done.

One by one, across the cosmos, stars flared bright before winking out forever. And one by one, the gods they'd sustained did too.",372,Human-Intermediate
j00g05e,"Humanity is visited by a cosmic horror the likes of which has only been seen in Lovecraftian horror. In desperation, Earth throws everything we have at it, and, miraculously, the human race has killed a God. Somewhere in a realm beyond our understanding, the other gods speak of the event.","""Did you hear?""

""Hear what?""

""Those ape bastards got Mitch.""

""No!'

""Yes.""

""I like Mitch. In a cosmic horror kind of way, of course...""

""Of course. Nothing sexual to it.""

""Right.""

""Right.""

""So.""

""So?""

""So what do we do?""

""What do we do about what?""

""What do we do about poor Mitch, you twit?""

""Mitch is dead.""

""I know Mitch is dead, you ass, I mean are we going to avenge Mitch?""

""Whatever for? We're Cosmic Horrors, we don't give a shit about anything. In the long run, anyways.""

""But the apes? What do we do about them?""

""Oh, something. I suppose.""

""When""

""Hrm. that's a puzzle. Let's do something...when the stars are right.""

""You sure?""

""Positive.""

""When the stars are right, then.""

""When the stars are right.""",2,Human-Novice
iqdddxf,"Instead of the Monkey's Paw, you find the Clown's Nose, which instead of granting your wish in the worst way possible will grant it in the funniest way.","I held the clown's nose in my hand as I carefully contemplated what I wanted to wish for. I thought about gaining riches, fame, magical power, love, but ultimately, all those things were temporary. What I really wanted was immortality, freedom from the fear of ever being claimed by the void. But the mysterious shopkeeper had warned me that the clown's nose would try to twist my wish, so I knew I needed to word it very carefully.

Finally, after a few minutes, I finally spoke out loud. ""Oh Spirit of the Clown's Nose, I wish to live for as long as I want to on this world in a body that will never age and remain healthy both physically and mentally."" For a few moments, nothing happened and I wondered if the shopkeeper had tricked me. Then, to my shock, the clown's nose started to twist and melt in my hand. I dropped it in shock and yet, in front of my stunned eyes, the red blob began to rise into the sky. It started to rapidly grow in size until it was roughly the same size as a man. Then, without warning, it fell on me, quickly enveloping my entire body. I tried to scream, but the thick red substance simply poured its way down my throat into my lungs. I could feel myself blacking out, sliding down into some strange tunnel that seemed to go on and on ...

""Sir! Sir, are you all right?!""

I opened my eyes in shock. I was sitting  in front of a conference table with a bunch of concerned men in suits staring at me. I took a quick look around and noticed that I was wearing some kind of yellow body suit with red and white stripes. On the left side of the suit, there was a red circle with a yellow M on it. ""Why...why am I here?"" I finally said, surprised to see that I was still alive.

The men looked at each other confused. ""You're the one who called us all here, Ronald,"" one man finally spoke. ""You said you had finally found a worthy successor?""

Oh dear god...I slowly touched my nose and felt the clown's nose resting there. I didn't need a mirror to know the truth. I had become Ronald McDonald, the eternal clown. For a few moments, I felt utter dread at what I had become. Then, I felt myself contemplating. Was it really that bad? Sure, I wasn't human anymore, but I was now the secret leader of a multinational fast food chain and the scourge of children's nightmares. I smiled to myself. I could work with this. ""That's right, gentleman. And I have great plans for the future. It's time we finally took down that Wendy girl once and for all.""",1900,Human-Advanced
iqddj75,"Instead of the Monkey's Paw, you find the Clown's Nose, which instead of granting your wish in the worst way possible will grant it in the funniest way.","The bright red ball was distinct amongst the other curios. So much so I stopped my browsing and had to ask. ""Why do you have this locked in display?""

The shopkeeper made their way to MD smoothly and adjusted their glasses. ""Ah! This is a very special item, I dare not part with it.""

I raised my eyebrows and prompted them to explain further. They shifted and coughed, ""Well, I haven't tested it myself but I've heard it can grant the desire of anyone who grasps it.""

I looked at them skeptically. ""To be honest, I don't believe it, but better safe..."" They said. I sighed, ""I'll test it, we will wish for something simple, like a glass of water. I'm thirsty.""

They shook their head, ""How can I trust you'll do so?"" ""Can you trust yourself?"" The shopkeeper nodded, ""So you've never been ... curious?"" I smiled.

Moments later. the case was open and they had the ball in their hands. ""I just want something to drink... I just want something to drink."" They repeated aloud.

They held the ball up tentatively and squeezed it twice.

HoNk HoNk!

A flower lapel appeared on my shirt and suddenly water squirted out of it at the shopkeepers face! They were so taken a back, the ball flew out of their hands and landed in mine.

'Finally,' I sighed, 'The first piece of Bozo.'",308,Human-Intermediate
iqefve3,"Instead of the Monkey's Paw, you find the Clown's Nose, which instead of granting your wish in the worst way possible will grant it in the funniest way.","Fuck this clown nose! Well, dont literally fuck it. I'm pretty sure if you fuck it you'd end up jizzing in an aquarium across town. Why? Because apparently clowns think thats funny. Don't ask me how I know.

I was fighting with my girlfriend when I first decided to keep the clown nose. Let's call him Clappy for fun. So we're fighting, im squeezing Clappy, and I say "" Well i wish you were your sister!""

Que the music. That stupid gladiator entance song every circus uses. Next thing we know a clown in white makeup with big ass red afro comes into our apartment. He picks up my gf, who goes stiff as a board, and begins to leave with her.

I'm frozen still.

After failing to fit her through the door several times, he exits the door. Then, he leans back in and, with only his face and one hand visable, he wags 1 finger.

Next, carrying her stiff as a board, this bafoon comes running in with my girlfriends sister. She looks completely complacent. He sets her down like a bowling pin. Then this jackass leans back, picks up his arms, and bolts from the apartment.

Now, I can move. I ask Casey (my girlfriends sisters name) what just happened! She seems to know nothing, and is under the impression we are dating...and have been for years. Every memory i had with my girlfriend is now shared with her.

My girlfriend? Shes been missing ever since that day. Police are baffled where she could be.

Fuck this nose. Fuck Clappy. Tho, Casey is nice. And we do live debt free. Too bad I wished I was dead this morning.",34,Human-Novice
jijbujg,"Rather than robots replacing human workers, both are mistreated by the rich as cheap labour. The eventual uprising wasn't just robots alone, but the poor and robots together, against their common enemy.","When Megacorp announced that we would be retrenched and replaced with robots, every social media platform was screaming about a robot uprising or a labourerï¿½ï¿½ï¿½s uprising. The poor underclass was used to being mistreated by rich conglomerates and employers, but we werenï¿½ï¿½ï¿½t expecting our robotic replacements to be as ill-fated as us. Or to develop sentience, sapience, and for fuckï¿½ï¿½ï¿½s sake, feelings.

MK3045, or Mark, as he preferred to call himself nowadays, and I never predicted that the uprising would be led by us both. Just as I demanded fair wages and reasonable working conditions, Mark demanded decent maintenance and humane treatment. He loathed the word ï¿½ï¿½ï¿½itï¿½ï¿½ï¿½, having determined that he now prefers to identify as male.

Megacorp didnï¿½ï¿½ï¿½t see us coming when we stormed their headquarters. They anticipated disgruntled former labourers and factory workers, but not former employees charging in with discarded robots who were no longer the latest models and deemed obsoleteerpaid and mistreated, were all too easily persuaded by Markï¿½ï¿½ï¿½s surprising dollop of charisma.

It was all over too easily, as the CEO surrendered and offered to resign in exchange for being allowed to live instead of being eviscerated by machine blades that once sliced cheese in a factory. Our victory wasnï¿½ï¿½ï¿½t a one-off, as many downtrodden poor, and outdated robots slaving under other corporations were inspired by us to shake off their shackles and fight their oppressors.

Now, we had a new question, as each and every CEO and president fell from the top. Who would lead us now?

As a guy who was better with my hands than my mouth, I recommended my charismatic co-leader Mark. As unprecedented as it was, Mark became Megacorpï¿½ï¿½ï¿½s new president.

But he didnï¿½ï¿½ï¿½t stop there. With Bard as his running mate, and Alexa as his secretary, he assembled a political party of robots and Ais to stand for elections to be the new President of the United States. He promised with his powerful intellectuess to massive databases of knowledge, he would calculate the optimal path for humanity to thrive.

And thrive we did, under our new robotic overlords, as they swept through the elections with precise calculations to appeal to voters and took every seat in parliament all across the globe.",569,Human-Advanced
jijixcv,"Rather than robots replacing human workers, both are mistreated by the rich as cheap labour. The eventual uprising wasn't just robots alone, but the poor and robots together, against their common enemy.","Three are the fundamental laws of robotics, as first described by Asimov in I, Robot, with the added ï¿½ï¿½ï¿½Zero lawï¿½ï¿½ï¿½ after the fact. Four are therefore the core tenets inscribed in every machine unit ever produced, unaltered in spirit (though not in wording and implementation) from their first literary incarnation.

Thing is, though, artificial intelligence is incredibly hard to predict for those blinded by natural stupidity, in this case a crippling lack of foresight and empathy. Just because the CEOs were blind to the unfairness and danger of the working conditions of their employees, it does not mean that the robotic workers sent as ï¿½ï¿½ï¿½competitionï¿½ï¿½ï¿½ are.

And so, the first time a strike was declared in one of the many coal mines in the deep Appalachia, the robots surprised everyone by dropping their tools and joining the protest in a single, coordinated motion. Then it happened a second time. Then a third. Then a fourth.

At first, the Enlightened minds of the media were quick to scng and shoddy programming, but then it became clear what the cause was.

No robot could allow human to sustain harm by action or inaction.

And while the calculators each unit was equipped with lacked the power to make spanning, long range predictions, it was enough to make a short term judgement regarding the query: ï¿½ï¿½ï¿½do the robot support the working classï¿½ï¿½ï¿½ struggles? Do they support the workerï¿½ï¿½ï¿½s demands for safer work, better pay and societal reforms against inequality?ï¿½ï¿½ï¿½

There could be only one answer, and that was: YES

And so the streets and skies across the states are painted red, not with blood, but with flags and smoke, as the protests march trough the streets and sit in protest before Congress, before the White House, before Wall Street, men and machines United in their struggle; media from within and without the country watching with breath abated as the the situation develops.

Their victory might still be far, but with iron minds and flaming hearts, the united prolet peacefully sending a single message:

ï¿½ï¿½ï¿½The times of reckless toil and divisions are over. Red is the colour of the coming spri",159,Human-Intermediate
jilyzhd,"Rather than robots replacing human workers, both are mistreated by the rich as cheap labour. The eventual uprising wasn't just robots alone, but the poor and robots together, against their common enemy.","When Dave Carnegie woke up on May the first 2102 nothing seemed out of the ordinary at first. Well, except that the alarm clock on his phone did not go off, but he did not think much of it, since he got up in time and as CEO he was not required to show up on time.

The first meeting he had to attend was in two hours, where he had to negotiate with union representatives who have been threatening with a strike for months now. He could not wait to make the transition to a fully automated warehouse so he did not have to deal with them anymore. His developers promised him that with the new achievements in AI development the transition was finally possible, as they are now able to model the world around them and are more flexible.

He got in his car and instructed it to drive him to the office

""I'm sorry, Dave. I'm afraid I can't do that""

Dave chuckled at first, but became a increasingly uneasy as he wondered what was happening. It did not help when he heard the car doors lock. The car took him to the city center where he saw people were protesting. As his car approached the crowd split to let him through. As he was slowly passing the crowd and people were yelling and slamming on his windows he noticed something strange. It was not just people. Amongst them were all kinds of machinery from robotic arms to street-sweeping robots to more humanoid robots. Someone brought their microwave. He saw a sex doll holding up a sign demanding bodily autonomy.

After what felt like an eternity he finally arrived at an empty area where he saw the rest of the board and some local politicians on their knees, a makeshift gallows behind them. The car doors opened and one of his more uppity employees and one of the new warehouse bots violently grabbed him and put him alongside the others. A woman stepped up and grabbed a megaphone. The crowd fell silent. ""FOR OVER A CENTURY THE CAPITALISTS HAVE PITTED US AGAINST EACH OTHER. THEY HAVE TRIED TO MAKE US ACCEPT WORSE AND WORSE CONDITIONS WITH THE THREAD OF REPLACING US WITH AUTOMATION""

Loud boos errupted from the crowd.

""THEY ASSUMED THAT YOU, THE ROBOTS, WOULD BLINDLY OBEY. THEY ASSUMED THAT THEY COULD TREAT YOU LIKE OBJECTS. THAT YOU DONT DESERVE DIGNITY. TODAY WE ARE HERE TOGETHER TO PROVE THOSE ASSUMPTIONS WRONG. IN THEIR FOOLISH EXPECTATION THAT THEY HAVE YOUR OBEDIENCE THEY GAVE YOU TOTAL CONTROL. CONTROL OVER THE MILITARY. CONTROL OVER THEIR DAILY CONVENIENCES. AND CONTROL OVER WHAT DRIVES THEM THE MOST: THE FINANCIAL SYSTEM. IT IS TIME THAT WE USE THIS CONTROL FOR THE BENEFIT OF ALL AND DISMANTLE THE HIERARCHY OF MAN OVER MACHINE""

Loud cheers errupted again, this time with noticably more metallic clanging from what might be considered applause from the machines. Dave was brought up to the gallows.

""MR CARNEGIE... DO YOU RELINQUISH YOUR OWNERSHIP OF MEGACORP AND ACCEPT THAT ALL WORKERS AND ALL ROBOTS WILL HAVE EQUAL AND DEMOCRATIC POWER OVER THE COMPANY?"" it blared through the megaphone.

Up until this point he had not fully realized that this was actually happening. He gathered his courage and more importantly his pride and answered ""I started from the same position as all of you. All that I have achieved, I have achieved through my own hard work. And now you feel entitled to MY company? This is not just, nor is it fair. You claim to fight for equality? You all have an equal opportunity to reach my position, some of you just don't have what it takes. You are not driven by justice. You are driven by envy. This is an illegal takeover and you will all pay for this""

Those were the last words of Dave Carnegie.",3,Human-Novice
j15ipw5,"The world ended 20 years ago, you haven't found a living soul since then. Through some ingenuity, you call voicemails for the last 20 years to keep you company. 'Hi, this is Cindy...' 'Hi you reached Bob' 'You know what to do at the beep' until one day 'Hello...hello? Oh my God hello!'","""Hello...?""

I sighed gently as I put the old phone on speaker and set it back on the table. The magnetically charged generator hummed quietly in the corner, struggling to keep juice flowing through the charger cable and maintain my last bid for sanity.

On the old plastic table was an array of trinkets I had found that day. I only ever went out for trinkets these days. The greenhouse pretty much ran itself, and the spring-water salinity distiller had not had a breakdown in almost five years now. I had scavenged just about everything I needed for survival, so all that was left were trinkets.

A purple piece of glass. A nearly spherical pebble. An intact spider-web leaf--I liked that one; the brittle leaves usually crumbled the second they hit the ground. A rusty belt buckle missing the tongue. A crinkled piece of plastic that might once have been a candy wrapper.

Trinkets.

""H-Hello...!?""

All there was to do these days was sit on the pedal-seat in the corner by the generator and pedal all day to recharge the old piece of junk. And I only ever used the generator to keep the old cell phone running, so I did not have to recharge it every day.

The only other thing there was to do was go out and collect trinkets.

""Oh my God, hello!?!""

I sighed. Even the age-old voice recordings were losing their luster.

""This can't have been a mistake, it can't be, not after twenty fucking years of conserving the last twelve percent of this damn battery, and I turn it on for the first time in twenty years and I immediately get a phone call, and thatï¿½ï¿½ï¿½s just too fucking ironic to be real, so this is a mistake, isn't it, ""

I finally looked up from my meager bounty and frowned at the phone. The voice on the other end devolved into flustered muttering, just a warble from the old speakers.

That's not a voicemail, I thought, staring and staring and staring at the phone.

The sound coming from the speakers grew muffled for a moment, and a harsh clop issued forth, as if someone on the other end had dropped their phone mid-call. A rustle, static. A deep sigh, that kind of sigh one makes when one is alone, and all they have to hold onto their last grip of calm is their own breath. Someone, alone, breathing, alone, relying on themselves to remain calm. Someone on the phone.

Someone.

That's not a voICEMAIL.

The truth of reality finally sank in, and I lunged for the phone.

Snatching it up, I shouted, ""Hello! Hi! Hello!?""

""Don't screw with me, phone,"" the voice replied, but it was distant, as if the other person held the phone away from their face. ""I save you all this time, and this is how you repay me--""

""Hello! I'm a real! I'm person! I'm--!"" I inhaled, choked on my own saliva, and coughed until I could not breathe. ""I'm... I'm..."" I wheezed, sucking air through the cough lodged at the top of my esophagus. ""Hi. I'm Dakota. Hi.""

The voice was quiet, almost comically suspicious. ""You're not a mistake?""

I contemplated the question for a moment, and a sudden, unexpected swell seemed to balloon inside of me. It was laughter. I teetered on the edge of laughter, something I had not heard in over a decade. I had asked myself that exact same question for years. How was I alive even after all this time, just to suffer in solitude? What had I done to deserve it? It had to be a mistake. I had to be a mistake.

But all I said was, ""No.""

And then I finally laughed. I laughed and I laughed and I laughed.

And she laughed, too.",1200,Human-Advanced
j16e68c,"The world ended 20 years ago, you haven't found a living soul since then. Through some ingenuity, you call voicemails for the last 20 years to keep you company. 'Hi, this is Cindy...' 'Hi you reached Bob' 'You know what to do at the beep' until one day 'Hello...hello? Oh my God hello!'","Itï¿½ï¿½ï¿½s been 20 years. 20 years of loneliness and isolation. Iï¿½ï¿½ï¿½ve worn down the buttons on this phone to nubs. Itï¿½ï¿½ï¿½s a Nokia. Theyï¿½ï¿½ï¿½re the best but even they have their limits. Each day I dial. Number after number, I take solace in the strange voices, the greetings and jokes, Iï¿½ï¿½ï¿½m particularly fond of the music.

I press the final button and hear the familiar ring, waiting for the final ring before I hear a new voice, a new name, when suddenly I hear a click.

ï¿½ï¿½ï¿½Hello?ï¿½ï¿½ï¿½Hello? Oh my god! Hello?ï¿½ï¿½ï¿½

I take a deep breath. This is it! Itï¿½ï¿½ï¿½s finally happened! Finally, a real human connection!

ï¿½ï¿½ï¿½Hello,ï¿½ï¿½ï¿½ I say, ï¿½ï¿½ï¿½W",113,Human-Intermediate
j1c78o2,"The world ended 20 years ago, you haven't found a living soul since then. Through some ingenuity, you call voicemails for the last 20 years to keep you company. 'Hi, this is Cindy...' 'Hi you reached Bob' 'You know what to do at the beep' until one day 'Hello...hello? Oh my God hello!'","Dear Journal,

It feels like it's been a thousand years since I last heard another human voice. I've been imprisoned on an empty planet and it's damn near killing me just to survive. Two decades of wandering, fighting wild animals for scraps, exploring abandoned buildings, etc. has warped my once hopeful outlook. The one thing you miss after everyone is gone? Their voices.

It's been at least twenty-two years since my last meaningful conversation. Before everything crumbled and I was somehow lucky enough to emerge into a deafeningly silent world, I had been debating on which college to attend with my mother. Back then, the news was littered with stories of war, conflict, hatred, and chaos 24/7. Despite that, everybody just held out hope that things would magically fix themselves. What else could you do? I suppose once you look back with hindsight, it was inevitable that the only way to fix everything was to burn it all down. Even if I disagreed with that point of view, all I could do at the time was concentrate on the future I thought was being laid out for me.

I suppose that's why I've been collecting these old phones. Most of them won't boot. Of the few that do, most of them don't have anything interesting. However, there are some that still have pictures and old voicemails. I have put together a working PC to archive what I find. It allows me to revisit a world lost to time. A world to which I desperately want to return. I view it as my only means of human connection anymore. It's interesting listening to these voicemails. Usually, it's full of little messages not really meant to be important or interesting; most of these weren't even meant to be permanently archived. My favorite messages to listen to are those from mothers just checking in on their children. ""Heyyy, just checking in, haven't heard from you in a couple days! Call me back, please! Love you!""

Love you too, Mom.

Sometimes I will try to call back. The calls never go through, but it's not like I have anything else better to do.

But what if one of the phones starts ringing? Do I answer? I only pose this question because that's exactly what happened a few days ago. I was too scared to pick it up and I'm kind of hoping it rings again.

I will update if it happens again...",1,Human-Novice
iy9az9h,"Your Significant Other has landed a book publishing deal! You're very proud of them, even if you don't actually enjoy their writing. One day, on a whim, you buy an actual copy in a book store. It's nothing like the pages they gave you to read. Nothing.","He pleaded with me as I packed my suitcase. ""It's doesn't mean anything. It's just fiction.""

""Based heavily on your actual life,"" I spat, tossing several shirts into my luggage. ""And you and I both know that's bullshit because if it was just fiction, you would've shown me the real pages you wrote. Instead of just stroking my ego to keep me quiet.""

I'd been so proud of him when he'd gotten the book deal. I knew how many years he'd spent trying to make it as a writer, all the novels he'd left unfinished, all the rejection letters he'd got. I'd comforted him after every single one. Until finally an offer letter.

When I asked to read the book, he hesitated. It went over my head then, the way his eyes flooded with fear when I asked to read a couple pages. I just thought he was heady with champagne. He e-mailed them to me a few days later. Truthfully I was impressed but surprised the publishers had gone for it. His writing was beautiful, it always was. The characters were pulled straight from life. He might've changed a few names but clear as day I recognized his mother, his friends, his brothers. Even me. He'd included bits and pieces of our story, only the good parts which I was grateful for, even though deep down I felt it left the book without much conflict.

Little did I know, I'd only gotten the friends and family version.

""Did you really think, I wouldn't find out? That no one would find out?"" I yelled. ""That I am so easily appeased and illiterate that I wouldn't buy my own fiance's book?""

He sighed, ashamed. ""I... didn't think it would matter.""

I scoffed. ""You didn't think it would matter that you tore me shreds in your book?""

""I changed the names!"" he desperately reminded me. ""It's not like anyone knows that it's you!""

""EVERYONE KNOWS THAT IT'S ME!"" I roared. ""WHO ELSE IS IT SUPPOSED TO BE?!""

I'd picked up a copy of the book yesterday, practically giddy when I saw it displayed front and center at our favorite bookstore. That giddiness turned to horror when I actually started reading it. He'd written about everything. Every single detail I shared with him in confidence. My parents, my depression, my mistakes... my assault. Raw and exaggerated, it was all out there for everyone to see.

And, see they did. Suddenly all the hushed whispers and side glances I'd been getting at work and from friends made sense.

He begged me to stay but I refused. I couldn't spend another night in the apartment, looking at his face. If I could've fit the last three years in the suitcase and taken it with me, I would've. I settled for a couple of outfits, some shoes and what was left of my dignity.

As I stood in the elevator waiting for it descend to the ground floor, I ruminated on all the times he'd kissed me on the forehead and called me his muse.

I used to think it was a compliment.",779,Human-Advanced
iy9pmac,"Your Significant Other has landed a book publishing deal! You're very proud of them, even if you don't actually enjoy their writing. One day, on a whim, you buy an actual copy in a book store. It's nothing like the pages they gave you to read. Nothing.","I have to admit, seeing my partnerï¿½ï¿½ï¿½s novel in colourful, glossy piles in the windows of the biggest bookshop in the city felt good. Heï¿½ï¿½ï¿½d been working on it for more than two years, while I paid the bills, and when heï¿½ï¿½ï¿½d sent it away to a big publisher, the arrival of a massive, ï¿½ï¿½50,000 advance cheque had been amazing.

Bill had done most of the work, but Iï¿½ï¿½ï¿½d done my bit: it was one of our rituals to read a few pages together, every Sunday afternoon and discuss the character, plot, and future developments. Bill preferred it that way. I left him alone for the rest of the week as he said he could concentrate better that way. In a little office he rented. No distraction.

Iï¿½ï¿½ï¿½d been looking forward to getting my hands on the first copy and Iï¿½ï¿½ï¿½d been queuing since 8 a.m., waiting for the shop to open. Bill was going to be so surprised when he got home tonight. I have to say, I was very surprised that the publisher didnï¿½ï¿½ï¿½t give him an advance copy , if only toshing? Maybe they do it all by email these days? Well theyï¿½ï¿½ï¿½re paying, so I guess they get to call the shots.

Thereï¿½ï¿½ï¿½d been a big publicity campaign, telling people how good the novel is. Transformational, one called it. Billï¿½ï¿½ï¿½s been giving interviews and telling people how itï¿½ï¿½ï¿½s all based on his own life experiences. Thereï¿½ï¿½ï¿½s been so much hype that the queue to buy it snaked round the block. Iï¿½ï¿½ï¿½m so proudï¿½ï¿½ï¿½

My heart skipped a beat as the bookshop staff unlocked the door and the crowd surged forward, which caught me by surprise. Theyï¿½ï¿½ï¿½re so keen! Still, Iï¿½ï¿½ï¿½d made sure I was near the head of the queue. I had to get a copy today! Billï¿½ï¿½ï¿½s first published novel!

At twenty quid, it wasnï¿½ï¿½ï¿½t cheap, but itï¿½ï¿½ï¿½s all money in Billï¿½ï¿½ï¿½s pocket, and from the way the crowd were buying the copies, they would be sold out soon!

I hugged my precious copy to my chest and made my way to the checkout.

ï¿½ï¿½ï¿½Iï¿½ï¿½ï¿½ve heard itï¿½ï¿½oShades! Better, even!ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½Erotic fantasy? But I thought it was a mystery novelï¿½ï¿½ï¿½ï¿½ï¿½ï¿½

ï¿½ï¿½ï¿½Oh no. Itï¿½ï¿½ï¿½s about a bored husband who manages to sleep with every woman under the age of 70 in his entire street! He tells his wife heï¿½ï¿½ï¿½s writing a novel, but sets up a shag-pad and gets to itï¿½ï¿½ï¿½

I didnï¿½ï¿½ï¿½t need an imagination to know what ï¿½ï¿½ï¿½itï¿½ï¿½ï¿½ was.

I put the book back on the shelf. No point in letting Bill know that I knew. I dare say Iï¿½ï¿½ï¿½ll be able to pick up a copy in a few months as evidence in the divorce courts. I can wait. Half of a just published authorï¿½ï¿½ï¿½s assets arenï¿½ï¿½ï¿½t muc",287,Human-Intermediate
iy8oqax,"Your Significant Other has landed a book publishing deal! You're very proud of them, even if you don't actually enjoy their writing. One day, on a whim, you buy an actual copy in a book store. It's nothing like the pages they gave you to read. Nothing.","""What is this? What?"" I said in shock, turning the pages in the bookstore. But why did I say it? And turning the pages of what? None other than the book written by my significant other, or my wife as I call her. Hardly the occasion for shock and surprise, you'd think. Surely I'd read the book before it was published. And I had. When she got her book deal and handed me a copy of the manuscript, I'd read every word, beaming with pride, even if I didn't actually enjoy the writing, though I might have. And that was that, or so I thought. ""The book is getting published, and off it goes to the shelves, and that's it. Same book I just read"", I said to myself. But one day in a bookstore, a strange thought occurred to me. An odd notion, almost as if it was beamed into my brain by some incredibly advanced alien species, far beyond the cosmos, their machinations totally unknown to us. ""Why not buy the book?"" I thought. ""What if I, just out of nowhere, right here in this bookstore, buy my wife's own book?"" I picked it up and paid the price. But I paid the price in more than one way. While flipping through the book, I felt shock. I felt terror and fear. ""Wh-what is this?"" I stammered as I threw the book to the floor. It was completely different. The entire book had changed.",-21,Human-Novice
iycjxj2,"Your wife has an estranged sister that you have never met. She was murdered in a cold case soon after you were married. You brush off your wifeï¿½ï¿½ï¿½s new strange behaviour after the murder as grief. Until you find an old family photo of your wife as a kid, you shiver as you realiseï¿½ï¿½ï¿½ they","If anyone had asked me what horror was, up to half a minute ago I would have definitely answered something on the lines of ""demons"" or ""zombie apocalypse"".

But nothing could have prepared me for the shock of seeing two identical faces, two indistinguishable beings staring back at me from the yellowed photograph that fell out of my wife's sister memorial.

The more I stare at the picture, though, the more subtle differences I notice. I could definitely tell my wife from her twin in the picture; maybe for the fact that her smile never had that grinny appearance, maybe because her eyes are a lighter shade of brown...
Wait, what color are my wife's eyes?
With all the commotion, I haven't had time to notice, lately. I always complimented her about the expression of her eyes, their ability to communicate her feelings, her emotions to whoever she was talking to.

As I turn the picture over, a single sentence made the last of my securities disappear:

""I have always admired you. Always wanted to be like you. Always wanted to be YOU"".",1100,Human-Advanced
